run	success	duration	cost	ftissue_los	Kp_los	GU__LOSABS_k	GU__f_LOSEFL_k	GU__METEXC_k	LI__E3174EX_k	LI__LOS2E3174_Vmax	LI__E3174L158_k	LI__MBIEX_k	KI__LOSEX_k	KI__E3174EX_k	KI__L158EX_k	message	x	x0
38	True	105.29672455787659	70.15005606585346	0.14494266425307856	3.262148956929227	0.03617722689911161	1.020035540752619	2.6964160819935065e-05	0.011200118227296746	0.0007251463173167296	0.0011340090993695589	0.066315021777011	0.0773896174258953	0.028927173263331843	0.28890834506773044	`xtol` termination condition is satisfied.	"[1.44942664e-01 3.26214896e+00 3.61772269e-02 1.02003554e+00
 2.69641608e-05 1.12001182e-02 7.25146317e-04 1.13400910e-03
 6.63150218e-02 7.73896174e-02 2.89271733e-02 2.88908345e-01]"	"[6.10897318e-02 2.12699017e+00 2.66614478e-01 1.10888009e-01
 2.30521508e-03 3.79147197e+00 1.89370851e-03 1.35363817e-05
 5.43826080e-02 9.35538558e-04 1.72843781e-02 1.14724488e-01]"
26	True	106.22554636001587	71.01400611251394	0.15128629476977387	3.3408667484644288	0.03464582338128753	0.6675747839504012	2.5924695178291283e-05	0.013038557623308189	0.0008726563154283451	4.827346230965209e-05	0.08352798124405617	0.07746544853010869	0.03328825384416525	0.1137048081418556	`xtol` termination condition is satisfied.	"[1.51286295e-01 3.34086675e+00 3.46458234e-02 6.67574784e-01
 2.59246952e-05 1.30385576e-02 8.72656315e-04 4.82734623e-05
 8.35279812e-02 7.74654485e-02 3.32882538e-02 1.13704808e-01]"	"[7.71058716e-02 9.06013256e+00 1.50063118e-02 1.62777951e-01
 2.64166102e-05 1.79155613e-01 1.94432630e-03 1.89912928e-04
 2.62478911e-01 2.90040491e-01 4.32724318e-04 7.98330301e-03]"
37	True	200.9662368297577	71.12421111486384	0.14033060412879622	2.951620759812106	0.036017505797621835	1.193059190297815	4.374307451084923e-05	0.008883785405564447	0.0007369410085419411	0.02024899143903659	0.03861463628911669	0.08210077574740457	0.03175706881191429	0.9900128040288565	`xtol` termination condition is satisfied.	"[1.40330604e-01 2.95162076e+00 3.60175058e-02 1.19305919e+00
 4.37430745e-05 8.88378541e-03 7.36941009e-04 2.02489914e-02
 3.86146363e-02 8.21007757e-02 3.17570688e-02 9.90012804e-01]"	"[4.38787232e+00 1.56359248e+01 2.06838272e-04 1.24350398e+00
 8.32837382e-03 1.21849010e+00 1.35503292e+00 8.81699997e-01
 6.51168389e-01 7.37598123e-02 2.09819944e-01 3.38519447e-01]"
79	True	111.62613081932068	71.8552794170407	0.1622250572445408	2.3802501897065413	0.03650233570461497	1.250500845284453	2.4896819623463656e-05	0.00854400798613629	0.0007901987455337746	0.009591462214019906	0.05460894743834214	0.08751058841697552	0.03286337956398233	0.9218142106866568	`xtol` termination condition is satisfied.	"[1.62225057e-01 2.38025019e+00 3.65023357e-02 1.25050085e+00
 2.48968196e-05 8.54400799e-03 7.90198746e-04 9.59146221e-03
 5.46089474e-02 8.75105884e-02 3.28633796e-02 9.21814211e-01]"	"[7.48181986e-01 1.11530750e+00 2.10714571e-03 4.48029724e-01
 1.06095946e-02 6.97711851e-01 4.02819794e-03 7.52400854e+00
 1.59690847e-02 1.72361715e-02 2.51889162e-03 6.41980698e-02]"
59	True	143.28318333625793	72.04480089421672	0.17349314654072004	2.7428279454158417	0.03577089914217863	0.9904511899116694	8.753699007018123e-05	0.010929660050593698	0.0007889673363312198	0.0481645406813413	0.02366657754509928	0.08000750023851602	0.03209253549638038	0.0027448761452694504	`xtol` termination condition is satisfied.	"[1.73493147e-01 2.74282795e+00 3.57708991e-02 9.90451190e-01
 8.75369901e-05 1.09296601e-02 7.88967336e-04 4.81645407e-02
 2.36665775e-02 8.00075002e-02 3.20925355e-02 2.74487615e-03]"	"[3.08292018e+00 8.34092292e+00 1.48187533e-04 1.40066187e+00
 1.56077316e-03 2.51066022e-02 1.40608201e-03 7.93389547e-02
 8.99222204e-05 2.52696686e-04 2.32036362e-02 7.53140873e-03]"
84	True	89.79979991912842	72.31354430335476	0.06734646558841359	5.4630979613479145	0.03547718957540036	1.4045524365578694	3.922095063543967e-05	0.010038568652213701	0.000641734281787249	0.024651267992642514	0.03574405523653088	0.07976223360927781	0.030376482907687664	0.192890757668274	`xtol` termination condition is satisfied.	"[6.73464656e-02 5.46309796e+00 3.54771896e-02 1.40455244e+00
 3.92209506e-05 1.00385687e-02 6.41734282e-04 2.46512680e-02
 3.57440552e-02 7.97622336e-02 3.03764829e-02 1.92890758e-01]"	"[2.16698984e-01 1.16404051e+01 2.74471140e-03 5.20338504e-01
 4.50342144e-03 1.00175688e+00 1.33656100e-04 2.31676254e+00
 9.06755998e-02 2.99099978e-01 1.25267339e-04 8.18903862e-03]"
21	True	95.39881873130798	72.60233601851537	0.08265010165114148	6.766171235459522	0.03898065436399857	1.7831935291358765	5.4026118126735574e-05	0.013740104955783426	0.00036669268230977195	0.0130714987495746	0.03448543471759985	0.05619839562722103	0.02601935065806117	0.4659951444859415	`xtol` termination condition is satisfied.	"[8.26501017e-02 6.76617124e+00 3.89806544e-02 1.78319353e+00
 5.40261181e-05 1.37401050e-02 3.66692682e-04 1.30714987e-02
 3.44854347e-02 5.61983956e-02 2.60193507e-02 4.65995144e-01]"	"[1.53878592e-02 1.03681609e+00 2.52942915e-03 1.25622340e-01
 3.55966021e-04 4.28404360e+00 2.38323949e-02 3.67898442e-05
 1.31912281e-03 1.32104514e-04 2.57738132e-01 4.80572146e-02]"
74	True	110.31360006332397	72.60645735102088	0.01071188997964075	27.20300465887495	0.04043006057461384	1.810513274530992	4.8705683941683746e-05	0.00961722441300241	0.000475449400994344	0.0005033230722287259	0.04119574659773968	0.09705383605184052	0.037249945261681294	0.7311735365853073	`xtol` termination condition is satisfied.	"[1.07118900e-02 2.72030047e+01 4.04300606e-02 1.81051327e+00
 4.87056839e-05 9.61722441e-03 4.75449401e-04 5.03323072e-04
 4.11957466e-02 9.70538361e-02 3.72499453e-02 7.31173537e-01]"	"[1.01791946e-01 1.04617517e+02 1.20961748e-01 1.17266528e+00
 3.40648824e-02 1.47452626e-01 9.59608865e-03 6.45808157e-05
 1.40417572e-01 7.40701135e-01 3.14649676e-01 2.54973687e-01]"
52	True	104.04465818405151	72.68191055104752	0.12245998044381308	4.001647670573608	0.036193028800168205	1.3229215878283076	0.00019432079293450443	0.01223575376299637	0.0005903708267531664	0.05222181261214757	0.013634420545073094	0.07136881775614148	0.028252340396861773	0.4171230296891049	`xtol` termination condition is satisfied.	"[1.22459980e-01 4.00164767e+00 3.61930288e-02 1.32292159e+00
 1.94320793e-04 1.22357538e-02 5.90370827e-04 5.22218126e-02
 1.36344205e-02 7.13688178e-02 2.82523404e-02 4.17123030e-01]"	"[4.36658740e-01 2.11183204e+01 1.77372779e-03 1.29791180e-01
 1.76912900e-02 2.26677839e+00 9.16300766e-03 1.24030468e-04
 2.42896217e-04 2.65385857e-03 3.42913598e-02 2.86058475e-02]"
96	True	99.13131999969482	73.04146741112376	0.09510543651472539	5.504634729696045	0.04096151467842593	2.3762973239309164	7.866201222359323e-05	0.019056683381511445	0.00027812216108454463	0.02062621890966603	0.02628793205304136	0.056542701878578336	0.022245442404326174	0.03706390430253725	`xtol` termination condition is satisfied.	"[9.51054365e-02 5.50463473e+00 4.09615147e-02 2.37629732e+00
 7.86620122e-05 1.90566834e-02 2.78122161e-04 2.06262189e-02
 2.62879321e-02 5.65427019e-02 2.22454424e-02 3.70639043e-02]"	"[1.04232874e+00 3.64324028e+00 4.55530574e-02 9.27165215e+00
 1.25492526e-05 9.18388262e+00 2.51351523e-04 4.31750167e-02
 6.39597636e-02 2.70669730e-03 1.44980800e-03 4.39562830e-04]"
