study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Goldberg1995	all	8	NA	species	8	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Goldberg1995	all	8	NA	healthy 	8	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Goldberg1995	all	8	NA	sex	8	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Goldberg1995	all	8	NA	overnight fast	8	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Goldberg1995	all	8	NA	age	8	NA	NA	NA	25.5	NA	NA	23.0	40.0	yr	NA
Goldberg1995	all	8	NA	weight	8	NA	NA	NA	74.5	NA	NA	67.0	85.0	kg	NA
