study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Goldberg1995a		all	12.0	ENA20	concentration	renin	plasma	RIA	ENA20_renin	0.0	hr		1.1768705145553076e-10					mole/meter^3	pg/ml
Goldberg1995a		all	12.0	ENA20	concentration	renin	plasma	RIA	ENA20_renin	4.0	hr		2.384255730060945e-10					mole/meter^3	pg/ml
Goldberg1995a		all	12.0	ENA20	concentration	renin	plasma	RIA	ENA20_renin	312.0	hr		2.2701938331123016e-10					mole/meter^3	pg/ml
Goldberg1995a		all	12.0	ENA20	concentration	renin	plasma	RIA	ENA20_renin	316.0	hr		4.046458067619858e-10					mole/meter^3	pg/ml
Goldberg1995a		all	12.0	ENA20	concentration	renin	plasma	RIA	ENA20_renin	984.0	hr		1.768403788402803e-10					mole/meter^3	pg/ml
Goldberg1995a		all	12.0	ENA20	concentration	renin	plasma	RIA	ENA20_renin	988.0	hr		3.4410473876227223e-10					mole/meter^3	pg/ml
