study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Munafo1992		all	6.0	Placebo	concentration change absolute	aldosterone	plasma	RIA	aldosterone_Placebo	0.0	hr		0.0					mole/meter^3	pg/ml
Munafo1992		all	6.0	Placebo	concentration change absolute	aldosterone	plasma	RIA	aldosterone_Placebo	1.0	hr		-1.5375704532211384e-08	-19.9548791555403	3.998623561810406e-08	9.794587399905727e-08		mole/meter^3	pg/ml
Munafo1992		all	6.0	Placebo	concentration change absolute	aldosterone	plasma	RIA	aldosterone_Placebo	2.0	hr		-4.88537031241799e-08	-4.50126716027942	3.636558524656396e-08	8.907712805176561e-08		mole/meter^3	pg/ml
Munafo1992		all	6.0	Placebo	concentration change absolute	aldosterone	plasma	RIA	aldosterone_Placebo	4.0	hr		-7.437570956213059e-08	-22.8933728432775	1.0861341606837957e-08	2.6604744858813717e-08		mole/meter^3	pg/ml
Munafo1992		all	6.0	Placebo	concentration change absolute	aldosterone	plasma	RIA	aldosterone_Placebo	9.0	hr		-7.200698817529547e-08	-14.412673172033	3.202110084735271e-08	7.843535807821632e-08		mole/meter^3	pg/ml
Munafo1992		all	6.0	Placebo	concentration change absolute	aldosterone	plasma	RIA	aldosterone_Placebo	24.0	hr		-6.409531594430008e-08	-15.4178647368517	2.1320669295023915e-08	5.222476074743345e-08		mole/meter^3	pg/ml
Munafo1992		all	6.0	Placebo	concentration change absolute	aldosterone	plasma	RIA	aldosterone_Placebo	26.0	hr		-4.697624500982399e-08	-6.84046857468661	2.799834948462008e-08	6.858166987743561e-08		mole/meter^3	pg/ml
Munafo1992		all	6.0	Placebo	concentration change absolute	aldosterone	plasma	RIA	aldosterone_Placebo	33.0	hr		-6.868151371543652e-08	-10.0239831986839	4.087141506298593e-08	1.0011411196981778e-07		mole/meter^3	pg/ml
