study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	0.0	hr		100.0	100.0			systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	0.5	hr		92.0502927702094	100.763144701304	21.3420414356048	8.7128519310946	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	1.0	hr		93.1538142063966	97.0699102178186	9.5924370117323	3.916096011422	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	2.0	hr		98.9531749462034	104.947199453481	14.6823015485675	5.9940245072776	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	3.0	hr		93.8823470369115	98.5182380938237	11.3555675925667	4.6358910569122	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	4.0	hr		89.691666931254	96.7246556864609	17.2272338169887	7.0329887552069	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	5.0	hr		82.702751179633	91.0938733852061	20.5539677729915	8.3911222055731	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	6.0	hr		74.5939266440863	83.0654812810399	20.7509861886451	8.4715546369536	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	7.0	hr		71.202449806066	78.9547215021462	18.9891100028168	7.7522716960802	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	9.0	hr		80.6422982538257	90.8736363934315	25.0615578279107	10.2313381396058	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	24.0	hr		100.971987365354	117.915608743879	41.5032267722988	16.943621378525	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	26.0	hr		100.180497673508	117.843401992906	43.2651029581261	17.662904319398	systolic blood pressure response in percent	percent	percent
Munafo1992		all	6.0	Placebo	blood pressure systolic (change relative)	placebo	plasma	photoplethysmography	SBP_ratio_Placebo	33.0	hr		99.0514670260958	106.963579375703	19.3806380441109	7.9121123496072	systolic blood pressure response in percent	percent	percent
