study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	0.0	hr		4.958292944948203e-05					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	0.166666666666667	hr		4.743935814206467e-05					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	0.333333333333333	hr		5.048106353158295e-05					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	0.5	hr		6.644836914941588e-05					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	0.75	hr		0.00030245100026463854					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	1.0	hr		0.0006835570890894612					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	1.25	hr		0.0010277423263290457					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	1.5	hr		0.001282769243746298					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	2.0	hr		0.001389663850160041					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	3.0	hr		0.001228223356262066					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	4.0	hr		0.0009254870352894249					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	6.0	hr		0.0005948728798745486					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	8.0	hr		0.0004177837077590034					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	10.0	hr		0.00027823520417658975					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	12.0	hr		0.00018860684242066406					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	15.0	hr		0.00011603894635483825					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	18.0	hr		8.300080797026648e-05					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	24.0	hr		4.639747195497879e-05					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	30.0	hr		3.353823350529946e-05					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	36.0	hr		2.308972764192779e-05					mole/meter^3	ng/ml
Sica1995		group2	6.0	LOS100	concentration	exp3174	plasma	HPLC/UV	exp3174_group2	48.0	hr		1.1541147965621457e-05					mole/meter^3	ng/ml
